city,model,mae_C,bias_C,rmse_C,within_1C_pct,within_2C_pct,count,rank
NYC,gfs,1.64,-1.38,2.01,29.4,66.7,51,2
NYC,ecmwf,2.75,-2.45,3.27,17.6,47.1,51,5
NYC,icon,1.13,-0.63,1.42,47.1,90.2,51,1
NYC,jma,2.94,-2.86,3.41,17.6,31.4,51,6
NYC,gem,2.39,-2.15,2.85,27.5,41.2,51,4
NYC,ukmo,2.37,-1.84,2.79,21.6,43.1,51,3
NYC,vc,0.54,-0.13,1.04,78.4,88.2,51,ref
Chicago,gfs,1.64,-0.91,2.09,43.1,74.5,51,2
Chicago,ecmwf,2.12,-1.83,2.43,23.5,47.1,51,5
Chicago,icon,1.9,-1.44,2.33,29.4,62.7,51,3
Chicago,jma,2.47,-1.25,3.09,29.4,45.1,51,6
Chicago,gem,1.55,-1,2,45.1,68.6,51,1
Chicago,ukmo,1.94,-0.72,2.4,35.3,58.8,51,4
Chicago,vc,0.63,-0.25,1.43,82.4,86.3,51,ref
Miami,gfs,1.08,-0.04,1.42,62.7,82.4,51,3
Miami,ecmwf,1.55,-1.24,1.76,27.5,76.5,51,5
Miami,icon,0.88,-0.21,1.16,64.7,88.2,51,1
Miami,jma,1.16,-0.28,1.45,51.0,88.2,51,4
Miami,gem,1.02,0.11,1.44,68.6,84.3,51,2
Miami,ukmo,1.6,-1,1.91,33.3,70.6,51,6
Miami,vc,0.21,-0.16,0.74,96.1,96.1,51,ref
Atlanta,gfs,1.69,-1.16,1.94,29.4,62.7,51,1
Atlanta,ecmwf,2.24,-1.46,2.74,25.5,45.1,51,3
Atlanta,icon,2.14,-1.83,2.48,25.5,51.0,51,2
Atlanta,jma,3.39,-2.27,4.16,11.8,31.4,51,5
Atlanta,gem,2.95,-1.62,3.7,21.6,43.1,51,4
Atlanta,ukmo,3.52,-2.77,4.14,11.8,25.5,51,6
Atlanta,vc,0.4,-0.31,1.03,88.2,92.2,51,ref
Dallas,gfs,1.86,-0.46,2.28,37.3,58.8,51,2
Dallas,ecmwf,2.01,-1.08,2.44,23.5,58.8,51,3
Dallas,icon,1.44,-0.23,1.74,35.3,68.6,51,1
Dallas,jma,2.85,-1.83,3.39,19.6,37.3,51,6
Dallas,gem,2.1,-1.19,2.7,25.5,58.8,51,4
Dallas,ukmo,2.77,-1.82,3.5,29.4,35.3,51,5
Dallas,vc,0.67,-0.63,1.44,78.4,84.3,51,ref
Seattle,gfs,0.98,-0.28,1.27,58.8,84.3,51,4
Seattle,ecmwf,0.95,-0.37,1.17,64.7,92.2,51,3
Seattle,icon,0.78,-0.05,1.03,68.6,94.1,51,1
Seattle,jma,0.93,-0.24,1.16,60.8,92.2,51,2
Seattle,gem,1.23,-1.02,1.51,47.1,80.4,51,6
Seattle,ukmo,1.13,-0.64,1.43,52.9,84.3,51,5
Seattle,vc,0.43,-0.19,0.7,78.4,98.0,51,ref
Toronto,gfs,1.3,-0.85,1.66,47.1,80.4,51,2
Toronto,ecmwf,1.94,-1.92,2.34,25.5,56.9,51,6
Toronto,icon,1.87,-1.75,2.25,23.5,60.8,51,4
Toronto,jma,1.89,-1.36,2.33,35.3,56.9,51,5
Toronto,gem,1.25,-0.92,1.52,43.1,80.4,51,1
Toronto,ukmo,1.74,-1.66,2.1,25.5,64.7,51,3
Toronto,vc,0.89,-0.02,1.68,80.4,90.2,51,ref
London,gfs,1,-0.65,1.28,54.9,90.2,51,3
London,ecmwf,0.93,-0.69,1.12,62.7,96.1,51,2
London,icon,0.91,-0.43,1.15,64.7,90.2,51,1
London,jma,1.08,-0.65,1.3,54.9,92.2,51,6
London,gem,1.07,-0.73,1.32,47.1,90.2,51,5
London,ukmo,1.04,-0.71,1.29,56.9,86.3,51,4
London,vc,0.32,-0.22,0.49,84.3,100.0,51,ref
Seoul,gfs,1.8,0.1,2.42,41.2,64.7,51,5
Seoul,ecmwf,1.08,-0.69,1.35,54.9,82.4,51,1
Seoul,icon,1.43,-1.08,1.79,43.1,74.5,51,3
Seoul,jma,1.63,-0.17,2.17,47.1,68.6,51,4
Seoul,gem,1.08,-0.76,1.29,52.9,90.2,51,2
Seoul,ukmo,2.03,-1.1,2.72,37.3,68.6,51,6
